year,weekofyear,week_start_date,precipitation_amt_mm,reanalysis_avg_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_precip_mm,ndvi,reanalysis_temp,station_temp,precipitation_amt_mm_last5,precipitation_amt_mm_last10,reanalysis_avg_temp_k_last5,reanalysis_avg_temp_k_last10,reanalysis_precip_amt_kg_per_m2_last5,reanalysis_precip_amt_kg_per_m2_last10,reanalysis_relative_humidity_percent_last5,reanalysis_relative_humidity_percent_last10,reanalysis_sat_precip_amt_mm_last5,reanalysis_sat_precip_amt_mm_last10,reanalysis_specific_humidity_g_per_kg_last5,reanalysis_specific_humidity_g_per_kg_last10,reanalysis_tdtr_k_last5,reanalysis_tdtr_k_last10,station_precip_mm_last5,station_precip_mm_last10,ndvi_last5,ndvi_last10,reanalysis_temp_last5,reanalysis_temp_last10,station_temp_last5,station_temp_last10
2000,26,2000-07-01,25.41,298.45,43.19,92.4185714286,25.41,16.6514285714,8.92857142857,3.0,0.22830712499999997,24.931071428500033,26.53333333333333,85.865,78.88777777777779,596.2839285714999,596.8103174603334,74.045,96.09222222222223,183.65500000000003,182.97650793652224,85.865,78.88777777777779,32.937499999975,33.4384126984,18.13214285715,18.25873015873111,55.55,46.900000000000006,0.52865415625,0.5416954222222222,48.88446428568756,49.359206349166726,53.76416666666667,53.91987654320741
2000,27,2000-07-08,60.61,298.428571429,46.0,93.5814285714,60.61,16.8628571429,10.3142857143,55.6,0.256011875,24.27321428575003,27.233333333333334,99.77666666666667,102.88749999999999,596.1083333335,596.694642857375,70.50166666666667,103.785,183.3514285714,185.158035714275,99.77666666666667,102.88749999999999,32.65571428571667,33.7858928571625,18.673809523828332,18.33214285715375,76.7,77.575,0.5443162583333333,0.54831538125,48.34726190479172,49.06473214287506,54.0,54.34111111110833
2000,28,2000-07-15,55.52,297.392857143,64.77,95.8485714286,55.52,17.12,7.38571428571,38.1,0.170503575,24.13464285725003,26.833333333333332,92.85,106.68,596.2904761906666,596.126190476381,67.57,111.45142857142855,181.99309523808333,186.09442176870476,92.85,106.68,32.52095238095001,33.699727891171435,18.761904761928335,17.449659863953336,56.733333333333334,86.39047619047619,0.5474950416666666,0.5190778523809524,48.38577380970839,48.70345238101196,53.974999999999994,54.17793650793333
2000,29,2000-07-22,5.6,296.228571429,23.96,87.2342857143,5.6,14.4314285714,9.11428571429,30.0,0.20691787499999997,21.938571428500026,23.988888888900004,88.585,98.49000000000001,596.62500000025,595.64047619075,72.28,97.01666666666667,179.300714285725,183.883333333325,88.585,98.49000000000001,32.415000000025,32.88523809524166,20.4785714286175,17.8714285714375,46.575,88.425,0.5179553625,0.5156194458333333,47.89151785725006,48.01508928575005,53.46388888889167,53.358518518519446
2000,30,2000-07-29,62.76,297.635714286,31.8,88.1614285714,62.76,15.4442857143,9.5,4.0,0.31654645000000003,24.07250000000002,26.333333333333332,41.980000000000004,98.56799999999998,297.6271428574,595.6871428574,41.944,80.148,91.44885714285999,182.43599999998,41.980000000000004,98.56799999999998,16.102,32.568,9.048571428574,18.431428571438,26.139999999999997,74.78,0.23565737999999997,0.54320072,23.870000000000026,47.98335714290005,26.184444444446665,53.42244444444667
2000,31,2000-08-05,16.24,298.285714286,1.0,74.7285714286,16.24,13.4214285714,13.7714285714,11.5,0.22081785,22.75428571425003,24.78,40.146,98.145,297.5942857146,595.5708333336667,33.506,65.975,87.91085714286001,179.89857142855,40.146,98.145,15.456,31.941309523808336,10.01714285714,19.039285714291665,27.839999999999996,76.25,0.234159525,0.53353115625,23.434642857150028,47.637440476229216,25.83377777778,53.181203703705556
2000,32,2000-08-12,89.37,298.978571429,26.68,83.2757142857,89.37,15.3114285714,11.4714285714,72.9,0.35258212499999997,24.860357142750033,26.97222222223333,45.898,101.83952380952381,297.70428571459996,595.5833333335714,29.642000000000003,59.820952380952384,85.84971428572001,178.24408163262856,45.898,101.83952380952381,15.1457142857,31.504693877538095,10.24857142856,19.121768707489046,31.3,78.12857142857143,0.253473575,0.5523977404761904,23.55207142855003,47.597210884381006,25.781555555559997,53.21301587301905
2000,33,2000-08-19,42.08,299.335714286,16.9,82.49,42.08,15.4657142857,13.7,50.1,0.37522582499999996,24.380000000000024,26.694444444433334,43.21,90.36875,298.0928571431999,596.2919642859999,20.068,48.037499999999994,83.178,175.260892857125,43.21,90.36875,14.814857142840001,31.2314285714125,11.511428571418,20.408928571443752,33.7,57.65,0.294418025,0.5950849375,23.601142857100026,47.857544643000054,25.753777777779998,53.27944444444583
2000,34,2000-08-26,49.22,299.571428571,5.59,74.74,49.22,14.4442857143,13.7714285714,89.2,0.35993569999999997,24.985714285750035,26.633333333333336,51.934000000000005,97.0011111111111,298.7614285716,597.2563492065556,16.394,56.67666666666666,80.67914285714001,172.86095238095555,51.934000000000005,97.0011111111111,14.817428571419999,31.610000000022225,12.442857142840001,22.42698412701889,45.540000000000006,54.27777777777777,0.32502158999999997,0.5788367388888889,24.21057142855003,48.1088492064445,26.282666666666664,53.53913580247037
2000,35,2000-09-02,53.65,300.928571429,16.07,74.1514285714,53.65,15.0571428571,12.4571428571,78.0,0.32299285,25.87285714300002,27.0388888889,50.112,46.046,299.4200000002,298.5235714288,13.248,27.595999999999997,77.87714285714,84.663,50.112,46.046,14.73999999998,15.420999999989998,13.03428571426,11.041428571417,60.34000000000001,43.239999999999995,0.32631087,0.280984125,24.570642857150027,24.220321428575026,26.423777777780003,26.304111111113333
2000,36,2000-09-09,23.12,301.935714286,2.5,57.7871428571,23.12,12.6528571429,14.9,56.9,0.292352975,25.78464285725002,28.622222222233333,51.488,45.81699999999999,300.1500000002,298.87214285740004,13.547999999999998,23.526999999999997,74.48885714283999,81.19985714285,51.488,45.81699999999999,14.58628571428,15.021142857140001,13.25999999998,11.63857142856,69.42,48.63,0.34061789499999995,0.28738871,25.176714285750027,24.305678571450024,27.19222222222667,26.513000000003338
2000,37,2000-09-16,34.62,301.371428571,4.1,71.66,34.62,15.2271428571,13.8571428571,18.9,0.32761365,25.974642857250018,27.474999999999998,40.538,43.218,300.62857142859997,299.1664285716,9.032,19.337,72.16571428569999,79.00771428571,40.538,43.218,14.569428571420001,14.857571428560002,13.73714285712,11.99285714284,58.620000000000005,44.959999999999994,0.3356242,0.29454888749999997,25.399571428650024,24.475821428600025,27.292777777779996,26.537166666669997
